acD,price,sqFtPrice,bedroomD,bathD,carpetArea,coveredArea,floorNo,floors,furnishedD,propTypeD,transactionTypeD,possStatusD,ecd,ctName,locSeoName,prjname,landmark,lmtDName,OwnershipTypeD,tenantsPreference,postDateT,propertyTitle,latitude,longitude,property_age_yrs,price_per_sqft_calc,days_since_posted,furnished_ord
15 to 20 years,2000000,4545.0,1,1,250.0,440.0,0.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-07-09,Mumbai,Virar East,Ganga Sadan,"Near Virar (east) Talao,Phool Pada Road",Virar East,Power Of Attorney,Bachelors/Family,2026-07-08 21:31:10+00:00,1BHK Multistorey Apartment for Resale in Ganga Sadan at Virar East,19.4652899784439,72.8189990617033,17.5,8000.0,43,0
5 to 10 years,1400000,2828.0,1,2,350.0,495.0,0.0,2.0,Unfurnished,Apartment,Resale,Ready to Move,2026-06-20,Mumbai,,,river and railway station,,Freehold,Bachelors/Family,2026-06-19 21:32:15+00:00,1BHK Multistorey Apartment for Resale in ,,,7.5,4000.0,62,0
Less than 5 years,1400000,3111.0,1,1,324.0,450.0,5.0,8.0,Unfurnished,Apartment,Resale,Ready to Move,2026-08-14,Mumbai,,Neptune Swarajya,,Ambivali,,Bachelors/Family,2026-08-13 19:42:45+00:00,1BHK Multistorey Apartment for Resale in Neptune Swarajya at Ambivali,19.1306805252103,72.8402674125651,,4320.9876543209875,7,0
5 to 10 years,1900000,4176.0,1,1,328.0,455.0,3.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-08-14,Mumbai,Virar East,Mangalmurti Apartment,,Virar East,,Bachelors/Family,2026-08-13 20:14:22+00:00,1BHK Multistorey Apartment for Resale in Mangalmurti Apartment at Virar East,19.4652899784439,72.8189990617033,7.5,5792.682926829269,7,0
10 to 15 years,1500000,,1,1,425.0,,3.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-08-04,Mumbai,Khar West,Aman Apartment,pragati nagar police station,Khar West,Co-operative Society,Bachelors/Family,2026-08-03 17:52:50+00:00,1BHK Multistorey Apartment for Resale in Aman Apartment at Khar West,19.0699335919407,72.8363080829478,12.5,3529.4117647058824,17,0
5 to 10 years,2000000,8000.0,1,1,,250.0,0.0,1.0,Unfurnished,Residential House,Resale,Ready to Move,2026-08-14,Mumbai,Malvani,Malvani Manali,,Malvani,,Bachelors/Family,2026-08-13 23:37:58+00:00,1BHK Residential House for Resale in Malvani Manali at Malvani,19.1878361476608,72.8193396211644,7.5,,7,0
New Construction,1800000,3789.0,1,1,342.0,475.0,2.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-08-14,Mumbai,Nalasopara East,Reliable Swapna Nagari,,Nalasopara East,,Bachelors/Family,2026-08-13 08:21:50+00:00,1BHK Multistorey Apartment for Resale in Reliable Swapna Nagari at Nalasopara East,19.43138984792,72.8497262547151,,5263.1578947368425,8,0
,2000000,6667.0,1,1,216.0,300.0,5.0,12.0,Unfurnished,Apartment,Resale,Under Construction,2026-08-14,Mumbai,Mira Road,Janki Regency,,Mira Road Area,,Bachelors/Family,2026-08-13 15:44:29+00:00,1BHK Multistorey Apartment for Resale in Janki Regency at Mira Road Area,19.2829267647424,72.8627883689306,,9259.25925925926,7,0
Less than 5 years,1500000,3641.0,1,1,297.0,412.0,2.0,4.0,Semi-Furnished,Apartment,Resale,Ready to Move,2026-08-12,Mumbai,Virar West,Rustomjee Global City,,Virar West,,Bachelors/Family,2026-08-12 12:31:13+00:00,1BHK Multistorey Apartment for Resale in Rustomjee Global City at Virar West,19.4638767047594,72.7822993572118,,5050.50505050505,8,1
,1040000,3152.0,1,1,300.0,330.0,,,Unfurnished,Residential House,Resale,,2026-08-08,Mumbai,Mahada Colony Andheri West,,,Mahada Colony Andheri West,,Bachelors/Family,2026-08-08 06:58:01+00:00,1BHK Residential House for Resale in Mahada Colony Andheri West,19.1499636913465,72.8305149497405,,3466.6666666666665,13,0
,1130000,3139.0,1,1,,360.0,,,Unfurnished,Residential House,Resale,,2026-08-08,Mumbai,NL Complex,,,NL Complex,,Bachelors/Family,2026-08-08 06:57:10+00:00,1BHK Residential House for Resale in NL Complex,19.25969,72.86799,,,13,0
,1950000,,1,2,375.0,,,,Unfurnished,Apartment,Resale,Ready to Move,2026-08-08,Mumbai,Motilal Nagar,Sethia Seaview,,Motilal Nagar,,Bachelors/Family,2026-08-08 06:56:25+00:00,1BHK Multistorey Apartment for Resale in Sethia Seaview at Motilal Nagar,19.15627,72.83934,,5200.0,13,0
